set N := 1	2	3	4	5	20;
set P := 1	2	3	4	5	6	7	8	9	10;											
set K := 1;		
set V := 1	2	3;	


param sigma
:	1	2 :=
1	0.1	0.9
2	0.2	0.8
3	0.3	0.7
4	0.4	0.6
5	0.5	0.5
6	0.6	0.4
7	0.7	0.3
8	0.8	0.2
9	0.9	0.1
;

param O:= 1;
																
param d :=															
1	0																
2	1000																
3	1000	
4	1000
5	1000
6	1000
7	1000
8	1000
9	1000
10	1000
11	1000
12	1000
13	1000
14	1000															
20	0
;	
														
param q:= 3000;

param LI :=	# mover a horas		
												
1	0
2	0.5
3	1
4	1.5
5	2
6	2.5
7	3
8	3.5
9	4
10	4.5												
;
															
param LS :=	# mover a horas		
												
1	0.4999
2	0.9999
3	1.4999
4	1.9999
5	2.4999
6	2.9999
7	3.4999
8	3.9999
9	4.4999
10	16.7
;

						
param e:=
[*,*,1]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
14	328	169	199	206	339	288	343	229	297	224	336	301	249	119	194
20	300	310	196	214	268	299	301	207	284	163	322	111	349	265	0

[*,*,3]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	141	179	201	197	215	202	173	146	206	313	101	337	235	218	0
2	192	159	115	172	118	211	126	208	350	297	169	190	162	224	337
3	108	143	227	220	239	187	192	317	312	337	251	246	287	253	345
4	134	150	177	237	139	114	153	130	177	104	145	188	256	160	231
5	113	152	224	150	236	206	297	224	319	301	341	140	126	282	179
6	203	186	104	142	121	123	196	327	307	289	347	212	109	335	163
7	134	141	125	100	142	128	139	177	104	345	341	305	296	241	240
8	127	184	148	145	186	227	252	300	303	199	147	260	113	202	146
9	229	162	212	106	201	214	224	282	106	160	199	321	164	102	142
10	161	248	264	297	103	191	146	212	137	118	227	151	132	247	278
11	298	296	176	145	227	261	252	209	300	325	322	207	103	338	349
12	207	251	124	114	199	192	121	205	177	329	204	275	192	103	155
13	106	211	270	207	278	134	146	338	306	159	108	240	239	113	172
14	260	243	165	221	297	150	300	283	163	212	175	281	264	185	266
20	101	180	227	163	132	192	118	231	297	195	169	289	184	244	0

[*,*,4]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	141	179	201	197	215	202	179	312	164	102	165	217	233	211	0
2	192	159	115	172	118	211	108	159	234	156	110	243	257	309	240
3	108	143	227	220	239	187	149	314	258	215	307	238	107	173	191
4	134	150	177	237	139	114	226	172	315	251	126	184	160	178	281
5	113	152	224	150	236	206	277	179	115	323	237	194	137	105	349
6	203	186	104	142	121	123	240	337	269	262	341	245	239	193	149
7	133	131	146	122	148	123	150	218	269	221	232	299	339	171	310
8	146	248	114	233	241	197	204	315	332	332	143	290	346	254	142
9	287	145	104	295	294	247	247	344	322	199	261	127	236	336	271
10	170	276	180	279	123	161	150	294	170	263	207	245	114	289	314
11	160	279	141	205	189	145	266	277	345	201	155	286	325	125	259
12	295	269	300	210	153	108	261	244	188	236	141	116	164	283	349
13	102	170	111	118	160	284	145	193	345	148	349	234	144	113	136
14	204	209	125	166	201	162	287	164	230	241	103	284	267	288	238
20	186	188	128	155	161	178	172	292	181	157	114	219	334	244	0

[*,*,5]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	141	179	201	197	215	202	196	163	187	284	137	334	248	325	0
2	192	159	115	172	118	211	256	145	273	158	299	339	210	122	265
3	108	143	227	220	239	187	128	149	122	124	231	261	195	325	224
4	134	150	177	237	139	114	225	310	339	121	175	294	217	188	144
5	113	152	224	150	236	206	151	141	156	138	313	199	316	204	147
6	203	186	104	142	121	123	178	254	206	331	173	138	283	156	263
7	105	150	142	139	118	141	120	177	178	144	283	181	125	144	347
8	128	108	217	166	298	122	149	222	332	339	224	112	268	142	347
9	251	156	292	201	144	189	121	276	114	174	278	318	225	350	171
10	180	180	155	221	252	201	152	245	314	177	327	346	308	182	181
11	137	206	166	127	146	151	103	336	337	248	263	296	318	342	188
12	242	209	277	262	216	101	161	131	187	157	156	318	312	251	105
13	141	109	153	283	230	131	120	146	136	113	308	235	268	296	324
14	114	227	129	102	114	217	179	304	145	299	296	313	120	186	207
20	233	117	265	277	269	176	150	278	192	255	171	164	156	251	0

[*,*,6]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	141	179	201	197	215	202	239	283	229	148	200	219	334	104	0
2	192	159	115	172	118	211	237	142	100	130	149	214	124	337	217
3	108	143	227	220	239	187	145	185	154	176	175	126	182	254	257
4	134	150	177	237	139	114	131	305	199	117	207	275	171	293	271
5	113	152	224	150	236	206	117	233	318	233	100	285	245	182	126
6	203	186	104	142	121	123	162	348	196	183	161	329	219	318	155
7	127	110	138	118	115	111	114	108	215	271	292	347	212	296	225
8	149	152	260	238	223	109	200	329	237	153	111	335	101	255	254
9	234	165	117	104	139	145	218	149	322	203	150	270	216	341	332
10	130	102	248	219	129	258	125	190	332	261	158	130	162	199	307
11	228	237	159	223	182	172	214	197	162	311	211	252	227	335	208
12	234	202	270	135	271	101	195	101	313	199	110	195	172	185	132
13	136	166	124	101	146	258	169	125	113	244	184	268	147	329	211
14	290	299	132	184	262	235	265	254	338	302	327	251	162	252	289
20	221	154	160	244	173	113	230	281	349	204	325	316	210	347	0

[*,*,7]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	141	179	201	197	215	202	224	196	298	255	116	211	186	213	0
2	192	159	115	172	118	211	147	166	292	123	277	305	202	281	302
3	108	143	227	220	239	187	118	208	103	214	221	288	197	251	155
4	134	150	177	237	139	114	250	260	226	108	332	239	277	197	108
5	113	152	224	150	236	206	232	138	311	272	142	232	192	141	181
6	203	186	104	142	121	123	238	121	220	324	350	192	329	165	243
7	128	108	134	125	143	122	147	242	218	182	305	178	349	256	230
8	218	244	181	148	211	180	296	128	196	139	229	329	137	170	327
9	122	256	259	151	125	279	278	259	270	199	197	114	292	132	326
10	146	137	129	244	106	252	188	255	196	107	168	317	192	118	344
11	122	180	253	180	106	257	280	242	341	163	144	350	199	319	150
12	134	272	122	240	270	283	109	342	279	239	116	308	183	321	132
13	112	162	202	155	235	241	258	179	333	332	265	232	248	250	103
14	294	179	120	233	286	121	224	341	176	135	342	312	252	256	166
20	248	249	165	270	276	283	205	211	135	300	105	310	197	115	0

[*,*,8]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	165	285	122	158	205	148	110	136	112	171	141	114	319	257	0
2	112	310	226	214	252	128	185	202	242	192	293	245	169	207	271
3	314	216	273	350	300	250	296	326	121	194	347	239	176	345	162
4	224	283	226	167	252	185	163	206	173	172	282	334	172	343	226
5	138	275	177	294	295	304	213	179	339	340	276	303	140	308	290
6	306	273	240	229	285	330	317	264	306	276	349	348	151	332	190
7	183	165	294	310	234	258	320	166	343	104	207	133	293	305	242
8	326	311	215	149	134	330	102	222	335	109	208	260	241	120	263
9	275	238	315	171	191	126	341	266	141	108	153	108	263	206	102
10	223	114	211	328	322	225	242	347	123	129	294	311	262	234	154
11	149	308	116	110	330	350	317	251	172	220	324	191	155	330	230
12	296	114	146	337	142	142	256	277	258	323	333	204	136	129	344
13	204	180	305	245	144	257	305	193	245	232	337	115	321	181	137
14	345	117	144	225	192	187	340	139	241	277	342	159	302	303	119
20	229	207	137	110	220	237	232	161	256	120	155	195	293	111	0

[*,*,9]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	223	240	327	314	325	311	310	165	280	149	146	144	249	226	0
2	161	115	178	193	283	257	267	136	278	118	275	248	235	334	190
3	144	181	319	345	277	149	195	175	229	269	117	332	113	234	211
4	339	182	228	120	183	189	251	311	349	168	232	130	126	211	206
5	184	279	123	189	110	188	179	144	271	256	182	239	337	238	130
6	198	193	223	161	344	200	166	263	162	110	182	246	222	294	109
7	195	158	190	321	295	215	293	243	241	243	324	292	149	302	277
8	318	231	231	199	164	270	126	105	293	201	229	143	350	198	108
9	235	190	322	256	153	333	279	120	348	289	175	158	304	245	187
10	200	141	192	320	243	223	179	103	204	194	248	338	218	221	177
11	270	237	297	269	309	253	189	155	302	106	132	326	289	293	280
12	222	218	153	193	234	212	145	242	232	280	168	169	258	309	132
13	337	129	289	207	215	203	164	170	216	165	139	336	289	113	265
14	333	304	180	247	256	314	235	269	292	321	281	333	107	169	206
20	144	138	127	178	220	218	339	350	258	307	347	120	155	296	0

[*,*,10]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	270	128	122	290	184	241	120	233	277	132	340	313	304	184	0
2	301	168	123	222	206	218	125	176	319	302	131	263	195	132	150
3	328	253	280	242	197	293	116	328	127	291	343	236	256	145	206
4	290	299	207	247	172	318	190	111	121	250	333	232	111	206	332
5	216	108	147	156	268	280	135	330	253	345	117	255	113	276	183
6	299	149	257	230	106	201	238	343	320	266	208	298	331	102	324
7	288	243	323	216	249	198	133	157	180	179	102	320	172	299	304
8	245	162	340	176	225	310	102	236	291	197	336	242	243	149	215
9	229	208	344	342	328	132	301	136	194	234	303	300	174	115	267
10	334	246	171	198	187	129	268	241	272	303	349	256	205	102	241
11	316	108	164	216	153	303	159	149	264	159	165	282	172	350	275
12	240	298	178	179	253	183	289	238	109	165	194	349	170	176	115
13	173	283	131	283	275	214	280	314	204	226	108	144	282	266	262
14	206	181	299	126	238	159	265	161	113	164	222	171	132	232	162
20	330	140	150	285	110	235	198	321	277	133	350	174	183	179	0
;

param ee :=
1	1	0
2	1	59
3	1	44
4	1	62
5	1	50
6	1	25
7	1	30
8	1	76
9	1	67
10	1	71
11	1	44
12	1	64
13	1	69
14	1	29
20	1	0
1	2	0
2	2	30
3	2	60
4	2	67
5	2	37
6	2	52
7	2	34
8	2	66
9	2	52
10	2	75
11	2	23
12	2	23
13	2	60
14	2	32
20	2	0
1	3	0
2	3	71
3	3	24
4	3	24
5	3	52
6	3	75
7	3	36
8	3	52
9	3	28
10	3	35
11	3	41
12	3	57
13	3	25
14	3	65
20	3	0
1	4	0
2	4	70
3	4	26
4	4	58
5	4	20
6	4	33
7	4	43
8	4	30
9	4	56
10	4	47
11	4	47
12	4	38
13	4	71
14	4	78
20	4	0
1	5	0
2	5	33
3	5	21
4	5	74
5	5	52
6	5	22
7	5	36
8	5	48
9	5	62
10	5	51
11	5	22
12	5	69
13	5	75
14	5	76
20	5	0
1	6	0
2	6	37
3	6	61
4	6	59
5	6	78
6	6	58
7	6	38
8	6	37
9	6	47
10	6	65
11	6	23
12	6	62
13	6	62
14	6	35
20	6	0
1	7	0
2	7	55
3	7	21
4	7	56
5	7	29
6	7	35
7	7	60
8	7	44
9	7	69
10	7	38
11	7	61
12	7	51
13	7	44
14	7	72
20	7	0
1	8	0
2	8	39
3	8	58
4	8	66
5	8	36
6	8	71
7	8	79
8	8	41
9	8	71
10	8	77
11	8	41
12	8	44
13	8	34
14	8	61
20	8	0
1	9	0
2	9	35
3	9	74
4	9	57
5	9	73
6	9	48
7	9	39
8	9	38
9	9	28
10	9	79
11	9	36
12	9	50
13	9	65
14	9	59
20	9	0
1	10	0
2	10	44
3	10	24
4	10	70
5	10	29
6	10	32
7	10	31
8	10	77
9	10	33
10	10	71
11	10	37
12	10	36
13	10	25
14	10	37
20	10	0
;


param tt:=		
1	1	0
2	1	0.017
3	1	0.117
4	1	0.106
5	1	0.089
6	1	0.096
7	1	0.110
8	1	0.036
9	1	0.045
10	1	0.076
11	1	0.058
12	1	0.069
13	1	0.078
14	1	0.034
20	1	0
1	2	0.018
2	2	0.019
3	2	0.023
4	2	0.036
5	2	0.076
6	2	0.028
7	2	0.045
8	2	0.078
9	2	0.035
10	2	0.025
11	2	0.045
12	2	0.069
13	2	0.090
14	2	0.087
20	2	0
1	3	0.089
2	3	0.099
3	3	0.056
4	3	0.078
5	3	0.054
6	3	0.034
7	3	0.023
8	3	0.027
9	3	0.038
10	3	0.058
11	3	0.069
12	3	0.086
13	3	0.087
14	3	0.045
20	3	0
1	4	0.076
2	4	0.095
3	4	0.110
4	4	0.157
5	4	0.023
6	4	0.134
7	4	0.023
8	4	0.145
9	4	0.123
10	4	0.020
11	4	0.111
12	4	0.128
13	4	0.123
14	4	0.160
20	4	0
1	5	0.045
2	5	0.076
3	5	0.111
4	5	0.045
5	5	0.123
6	5	0.056
7	5	0.142
8	5	0.085
9	5	0.065
10	5	0.123
11	5	0.099
12	5	0.079
13	5	0.097
14	5	0.142
20	5	0
1	6	0.098
2	6	0.113
3	6	0.119
4	6	0.117
5	6	0.098
6	6	0.056
7	6	0.102
8	6	0.056
9	6	0.138
10	6	0.111
11	6	0.085
12	6	0.132
13	6	0.166
14	6	0.670
20	6	0.098
1	7	0.076
2	7	0.048
3	7	0.083
4	7	0.075
5	7	0.094
6	7	0.083
7	7	0.072
8	7	0.047
9	7	0.143
10	7	0.023
11	7	0.142
12	7	0.153
13	7	0.089
14	7	0.057
20	7	0
1	8	0.087
2	8	0.089
3	8	0.023
4	8	0.023
5	8	0.077
6	8	0.068
7	8	0.089
8	8	0.043
9	8	0.034
10	8	0.068
11	8	0.076
12	8	0.065
13	8	0.086
14	8	0.065
20	8	0
1	9	0.076
2	9	0.023
3	9	0.099
4	9	0.086
5	9	0.035
6	9	0.064
7	9	0.088
8	9	0.079
9	9	0.098
10	9	0.099
11	9	0.054
12	9	0.076
13	9	0.054
14	9	0.078
20	9	0
1	10	0.099
2	10	0.085
3	10	0.063
4	10	0.057
5	10	0.028
6	10	0.018
7	10	0.167
8	10	0.164
9	10	0.109
10	10	0.115
11	10	0.023
12	10	0.055
13	10	0.117
14	10	0.033
20	10	0
;

param T	#periodo 33 8:00					
[*,*,1]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.116	0.073	0.082	0.123	0.107	0.100	0.066	0.109	0.098	0.067	0.102	0.056	0.072	0
2	0.081	0.000	0.095	0.089	0.153	0.078	0.121	0.037	0.127	0.070	0.067	0.120	0.088	0.129	0.105
3	0.078	0.057	0.000	0.009	0.064	0.040	0.044	0.066	0.051	0.032	0.064	0.043	0.079	0.146	0.150
4	0.080	0.059	0.020	0.000	0.066	0.041	0.046	0.067	0.052	0.033	0.066	0.045	0.081	0.148	0.151
5	0.117	0.115	0.066	0.075	0.000	0.059	0.060	0.123	0.038	0.089	0.122	0.026	0.096	0.186	0.211
6	0.098	0.061	0.055	0.049	0.101	0.000	0.081	0.077	0.087	0.043	0.085	0.080	0.106	0.166	0.153
7	0.088	0.108	0.054	0.064	0.041	0.072	0.000	0.108	0.032	0.086	0.109	0.035	0.067	0.156	0.205
8	0.044	0.050	0.058	0.052	0.104	0.041	0.084	0.000	0.090	0.032	0.030	0.083	0.051	0.115	0.131
9	0.094	0.115	0.061	0.070	0.043	0.073	0.031	0.114	0.000	0.092	0.116	0.036	0.073	0.162	0.211
10	0.080	0.037	0.037	0.031	0.083	0.020	0.063	0.045	0.069	0.000	0.066	0.062	0.088	0.148	0.131
11	0.204	0.192	0.135	0.145	0.220	0.180	0.186	0.188	0.192	0.172	0.000	0.187	0.208	0.274	0.286
12	0.091	0.098	0.044	0.053	0.034	0.061	0.034	0.105	0.020	0.075	0.103	0.000	0.070	0.158	0.193
13	0.082	0.071	0.017	0.026	0.067	0.057	0.047	0.078	0.053	0.048	0.076	0.046	0.000	0.150	0.161
14	0.109	0.124	0.147	0.157	0.212	0.155	0.174	0.111	0.185	0.130	0.148	0.179	0.130	0.000	0.081
20	0.130	0.132	0.169	0.172	0.235	0.160	0.199	0.118	0.208	0.137	0.156	0.203	0.152	0.032	0.000
															
[*,*,2]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.115	0.085	0.094	0.142	0.109	0.108	0.065	0.115	0.100	0.082	0.108	0.080	0.070	0
2	0.085	0.000	0.079	0.088	0.164	0.082	0.137	0.038	0.140	0.073	0.064	0.133	0.122	0.125	0.128
3	0.084	0.059	0.000	0.009	0.094	0.041	0.056	0.065	0.058	0.032	0.063	0.052	0.094	0.157	0.172
4	0.086	0.061	0.021	0.000	0.093	0.042	0.055	0.067	0.058	0.034	0.065	0.051	0.094	0.159	0.173
5	0.128	0.116	0.061	0.070	0.000	0.068	0.058	0.121	0.034	0.088	0.117	0.021	0.096	0.203	0.229
6	0.121	0.062	0.075	0.067	0.141	0.000	0.110	0.074	0.113	0.041	0.099	0.106	0.137	0.189	0.174
7	0.096	0.117	0.062	0.071	0.045	0.088	0.000	0.117	0.030	0.094	0.118	0.039	0.073	0.172	0.231
8	0.047	0.050	0.041	0.050	0.132	0.043	0.097	0.000	0.099	0.035	0.026	0.092	0.084	0.117	0.148
9	0.104	0.125	0.070	0.079	0.047	0.090	0.034	0.125	0.000	0.102	0.126	0.040	0.081	0.180	0.239
10	0.087	0.041	0.042	0.033	0.115	0.022	0.077	0.046	0.080	0.000	0.066	0.073	0.115	0.161	0.152
11	0.080	0.067	0.015	0.024	0.109	0.056	0.071	0.068	0.074	0.047	0.000	0.067	0.109	0.153	0.182
12	0.108	0.107	0.052	0.061	0.057	0.078	0.037	0.113	0.022	0.084	0.108	0.000	0.076	0.185	0.221
13	0.097	0.075	0.020	0.030	0.092	0.061	0.054	0.081	0.057	0.052	0.076	0.050	0.000	0.173	0.188
14	0.110	0.127	0.145	0.155	0.219	0.148	0.177	0.105	0.195	0.131	0.132	0.191	0.137	0.000	0.128
20	0.130	0.131	0.153	0.163	0.236	0.157	0.196	0.114	0.212	0.135	0.139	0.208	0.153	0.028	0.000
															
[*,*,3]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.123	0.079	0.101	0.150	0.113	0.115	0.072	0.120	0.104	0.078	0.113	0.061	0.070	0.145
2	0.089	0.000	0.096	0.118	0.171	0.085	0.134	0.044	0.136	0.076	0.078	0.131	0.101	0.123	0.118
3	0.090	0.062	0.000	0.022	0.095	0.042	0.054	0.069	0.058	0.033	0.079	0.051	0.095	0.159	0.177
4	0.093	0.065	0.020	0.000	0.096	0.045	0.056	0.072	0.059	0.036	0.082	0.053	0.097	0.161	0.179
5	0.118	0.117	0.062	0.084	0.000	0.067	0.067	0.125	0.039	0.090	0.135	0.024	0.108	0.187	0.223
6	0.115	0.061	0.065	0.087	0.139	0.000	0.101	0.070	0.104	0.032	0.104	0.098	0.127	0.183	0.176
7	0.088	0.113	0.058	0.080	0.048	0.083	0.000	0.108	0.029	0.091	0.115	0.035	0.077	0.157	0.219
8	0.045	0.052	0.052	0.074	0.131	0.041	0.091	0.000	0.095	0.032	0.034	0.088	0.057	0.115	0.161
9	0.102	0.127	0.072	0.094	0.059	0.094	0.041	0.123	0.000	0.105	0.128	0.046	0.092	0.171	0.235
10	0.089	0.044	0.037	0.059	0.113	0.022	0.072	0.051	0.076	0.000	0.078	0.069	0.101	0.158	0.160
11	0.090	0.071	0.018	0.041	0.113	0.060	0.072	0.070	0.076	0.051	0.000	0.070	0.102	0.159	0.183
12	0.095	0.103	0.048	0.070	0.064	0.080	0.043	0.111	0.027	0.081	0.120	0.000	0.084	0.163	0.210
13	0.087	0.072	0.017	0.040	0.095	0.060	0.055	0.080	0.059	0.050	0.090	0.052	0.000	0.156	0.184
14	0.104	0.143	0.143	0.152	0.217	0.141	0.172	0.101	0.183	0.133	0.136	0.177	0.125	0.000	0.069
20	0.105	0.130	0.143	0.153	0.218	0.142	0.172	0.102	0.183	0.130	0.136	0.178	0.126	0.069	0.000

[*,*,4]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.088	0.130	0.079	0.092	0.140	0.124	0.111	0.072	0.123	0.112	0.078	0.119	0.061	0.069	0.132
2	0.088	0.000	0.092	0.104	0.164	0.092	0.141	0.040	0.145	0.080	0.067	0.141	0.101	0.123	0.107
3	0.095	0.074	0.000	0.013	0.088	0.050	0.055	0.080	0.063	0.056	0.074	0.060	0.087	0.164	0.174
4	0.094	0.073	0.019	0.000	0.087	0.049	0.054	0.078	0.062	0.055	0.073	0.059	0.086	0.163	0.173
5	0.119	0.109	0.072	0.085	0.000	0.063	0.065	0.115	0.037	0.080	0.110	0.021	0.096	0.189	0.203
6	0.108	0.064	0.066	0.072	0.133	0.000	0.102	0.070	0.109	0.035	0.087	0.106	0.121	0.177	0.165
7	0.090	0.112	0.058	0.070	0.050	0.081	0.000	0.114	0.031	0.095	0.112	0.040	0.067	0.159	0.206
8	0.048	0.057	0.052	0.064	0.132	0.052	0.101	0.000	0.109	0.040	0.027	0.106	0.061	0.117	0.136
9	0.104	0.127	0.073	0.085	0.060	0.091	0.040	0.130	0.000	0.109	0.128	0.050	0.081	0.173	0.221
10	0.078	0.040	0.037	0.043	0.105	0.023	0.072	0.046	0.080	0.000	0.058	0.077	0.092	0.148	0.141
11	0.095	0.074	0.024	0.037	0.112	0.069	0.080	0.080	0.088	0.058	0.000	0.084	0.109	0.164	0.174
12	0.098	0.109	0.055	0.068	0.052	0.075	0.043	0.114	0.027	0.092	0.109	0.000	0.075	0.166	0.203
13	0.090	0.072	0.018	0.030	0.086	0.066	0.054	0.077	0.062	0.055	0.072	0.058	0.000	0.160	0.172
14	0.112	0.131	0.154	0.165	0.215	0.153	0.190	0.106	0.196	0.131	0.137	0.190	0.137	0.000	0.067
20	0.110	0.115	0.137	0.149	0.213	0.137	0.187	0.088	0.194	0.116	0.116	0.188	0.135	0.075	0.000
															
[*,*,5]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.126	0.079	0.088	0.143	0.117	0.111	0.071	0.122	0.107	0.077	0.113	0.059	0.066	0.128
2	0.087	0.000	0.088	0.093	0.172	0.088	0.143	0.042	0.149	0.078	0.070	0.145	0.102	0.128	0.105
3	0.095	0.059	0.000	0.009	0.088	0.039	0.060	0.064	0.064	0.028	0.077	0.056	0.087	0.160	0.153
4	0.095	0.060	0.020	0.000	0.087	0.039	0.059	0.064	0.063	0.029	0.077	0.055	0.086	0.160	0.153
5	0.107	0.111	0.066	0.075	0.000	0.060	0.061	0.115	0.033	0.080	0.130	0.019	0.088	0.173	0.206
6	0.120	0.069	0.072	0.061	0.138	0.000	0.111	0.075	0.115	0.039	0.102	0.107	0.134	0.185	0.162
7	0.082	0.107	0.056	0.065	0.048	0.082	0.000	0.109	0.033	0.084	0.114	0.035	0.063	0.147	0.202
8	0.045	0.055	0.046	0.051	0.129	0.046	0.101	0.000	0.106	0.035	0.027	0.098	0.060	0.111	0.136
9	0.092	0.117	0.067	0.076	0.052	0.087	0.038	0.119	0.000	0.095	0.124	0.040	0.073	0.157	0.213
10	0.092	0.042	0.039	0.027	0.106	0.023	0.078	0.047	0.082	0.000	0.074	0.074	0.105	0.156	0.134
11	0.101	0.067	0.018	0.027	0.106	0.057	0.078	0.071	0.082	0.047	0.000	0.074	0.105	0.166	0.160
12	0.088	0.097	0.047	0.056	0.048	0.076	0.042	0.102	0.024	0.075	0.113	0.000	0.069	0.153	0.192
13	0.082	0.070	0.019	0.028	0.086	0.058	0.058	0.074	0.062	0.047	0.086	0.054	0.000	0.147	0.163
14	0.116	0.143	0.158	0.166	0.225	0.158	0.188	0.109	0.203	0.143	0.139	0.198	0.141	0.000	0.068
20	0.121	0.134	0.144	0.152	0.221	0.147	0.192	0.098	0.198	0.134	0.125	0.194	0.150	0.030	0.000
															
[*,*,6]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.115	0.069	0.078	0.148	0.107	0.107	0.069	0.124	0.096	0.072	0.108	0.051	0.067	0.125
2	0.081	0.000	0.089	0.091	0.181	0.084	0.138	0.039	0.155	0.073	0.069	0.136	0.093	0.120	0.098
3	0.076	0.050	0.000	0.009	0.100	0.038	0.061	0.056	0.078	0.027	0.064	0.063	0.087	0.143	0.137
4	0.078	0.053	0.020	0.000	0.099	0.040	0.060	0.059	0.077	0.029	0.066	0.062	0.090	0.145	0.139
5	0.106	0.110	0.068	0.077	0.000	0.066	0.060	0.116	0.032	0.084	0.123	0.019	0.092	0.172	0.201
6	0.105	0.070	0.065	0.056	0.145	0.000	0.105	0.076	0.122	0.044	0.094	0.106	0.117	0.171	0.160
7	0.081	0.100	0.054	0.063	0.047	0.083	0.000	0.106	0.029	0.081	0.112	0.035	0.066	0.147	0.192
8	0.042	0.049	0.050	0.052	0.141	0.046	0.100	0.000	0.117	0.034	0.030	0.102	0.054	0.109	0.132
9	0.094	0.113	0.067	0.076	0.056	0.092	0.040	0.120	0.000	0.094	0.125	0.044	0.080	0.160	0.205
10	0.078	0.038	0.038	0.029	0.116	0.023	0.078	0.044	0.095	0.000	0.067	0.079	0.090	0.145	0.128
11	0.082	0.063	0.020	0.029	0.120	0.057	0.081	0.068	0.098	0.046	0.000	0.083	0.094	0.149	0.153
12	0.087	0.095	0.049	0.058	0.060	0.087	0.041	0.101	0.038	0.075	0.108	0.000	0.072	0.153	0.186
13	0.079	0.065	0.019	0.028	0.099	0.056	0.060	0.071	0.077	0.045	0.078	0.062	0.000	0.145	0.155
